"currentPage value must be greater than 0.","currentPage value must be greater than 0."
"pageSize value must be greater than 0.","pageSize value must be greater than 0."
"currentPage value %1 specified is greater than the %2 page(s) available.","currentPage value %1 specified is greater than the %2 page(s) available."
"Reward points is disabled.","Reward points is disabled."
"The current customer isn't authorized.","The current customer isn't authorized."
"Required parameter ""cart_id"" is missing","Required parameter ""cart_id"" is missing"
"""model"" value should be specified","""model"" value should be specified"
"Balance is limited at %1","Balance is limited at %1"
"Each earned %1(s) record expires in %2 day(s)","Each earned %1(s) record expires in %2 day(s)"
"Each %1 spent for your order will earn %2.","Each %1 spent for your order will earn %2."
"Each %1 can be redeemed for %2.","Each %1 can be redeemed for %2."
